Unnamed: 0,Original Title Text,Title Sentence Vector,Original Description Text,Description Sentence Vector,Original Author Text,Author Sentence Vector,Cluster
78,Mitsubishi Heavy expects to double defence revenue next year,-0.0453300337831024,"Japan's Mitsubishi Heavy Industries <a href=""https://www.reuters.com/markets/companies/7011.T"" target=""_blank"">(7011.T)</a> said on Wednesday it expects to double its defence revenue to about 1 trillion yen ($6.68 billion) from the business year starting Apri…",0.1704252770286984,Reuters,0.0701142108737258,2
79,Column: 1986′s Chicago-shot ‘Running Scared’ is a time capsule of the Thompson Center,0.0151739049470052,"Google plans a gut rehab of the Thompson Center, but the distinctive interiors are preserved on film thanks to the 1986 movie ""Running Scared.""",0.0359781322185881,Nina Metz,0.0721759401531016,3
80,Chicago basketball report: Bulls in the cellar of In-Season Tournament — and opportunity knocks for Aneesah Morrow at LSU,-0.054104274691781,"The Chicago Bulls are halfway through the group stage of the NBA’s inaugural In-Season Tournament, and their odds for advancement don’t look strong.",0.1284560865897219,Julia Poe,0.0762421613942478,2
81,Chicago Bears Q&A: What’s Justin Fields’ future now? What to make of Martellus Bennett’s comments? What would it take to get new ownership?,-0.0624375129700638,Did Justin Fields' performance Sunday in Detroit change his outlook with the Chicago Bears? Brad Biggs answers your questions weekly.,0.1463456676574424,Brad Biggs,0.1065164287501829,2
82,"Holiday lights around Chicago: Top 10 displays for 2023, from Navy Pier to Morton Arboretum",-0.0695817379164509,"The Tribune's list of light shows in and around Chicago (and beyond), with some indoor displays if you want to avoid the cold.",0.1126666971540544,Kayla Samoy,0.044585570518393,4
83,Some usual suspects but also real treasures as WTTW brings us some more ‘Beautiful Places’,-0.0446513699134811,"WTTW's Geoffrey Baer is back with “The Most Beautiful Places in Chicago 2,” exploring places including the Chicago Cultural Center and Glessner House.",0.0502620419138111,Rick Kogan,0.0086050437748781,1
84,Colin Fleming: Here’s why I’m such a fan of Peppermint Patty’s energy in ‘A Charlie Brown Thanksgiving’,-0.0555436813738197,"Peppermint Patty is the driver of ""A Charlie Brown Thanksgiving."" She shows us that earnestness can reward you and those you care about.",0.0210247938084648,Colin Fleming,-0.0348815170000307,1
85,Sheldon H. Jacobson: What’s it like to be an average American?,-0.0352418023012433,"Every day, you are contributing to what defines an average, even if you are anything but average.",0.0160548578423913,Sheldon H. Jacobson,0.0508860012050718,3
86,Letters: Why I’m grateful to live in Chicago,-0.009514354285784,Here is a list of things in Chicagoland I am thankful for.,0.0329212631622795,Chicago Tribune,0.0370779205113649,3
87,O’Hare Airport’s information desks are staffed by volunteers — and they’ve seen it all,0.0272334326564305,They're on the lookout for lost travelers and people who need help. They also absorb a lot of frustration.,0.0958368818028247,Christopher Borrelli,0.0326763262419262,4
